               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11305,             0.10593,                   0,           0.0063636,             0.10696,           0.0038549,           0.0010321,             0.10123,             0.10021,                   0,            0.070625,           0.0032639,           0.0032639
                   1,             0.10428,             0.10149,                   0,            0.008303,             0.13956,           0.0076513,           0.0017726,            0.099573,             0.09785,                   0,            0.040603,           0.0065755,           0.0065755
                   2,            0.091644,            0.095593,                   0,             0.04545,             0.25739,             0.02816,           0.0086199,             0.10098,             0.19508,                   0,            0.010559,            0.009865,            0.009865
                   3,            0.084187,            0.092627,                   0,             0.19447,              0.2174,             0.10313,            0.029821,            0.086812,            0.088915,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.078248,             0.09412,                   0,             0.35736,             0.33005,             0.25157,            0.074184,            0.078627,            0.086781,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.074046,            0.090022,                   0,             0.51927,             0.46617,             0.43597,             0.13985,            0.069979,            0.077573,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.070671,            0.092613,                   0,             0.54165,             0.51104,               0.474,             0.16698,            0.068754,            0.077491,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.067871,            0.092462,                   0,             0.50664,             0.52224,             0.47571,             0.15753,            0.067247,            0.075584,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.066342,             0.09206,                   0,              0.5514,             0.53345,             0.50156,             0.15877,             0.06768,            0.075985,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.065646,            0.088747,                   0,             0.57828,             0.55076,             0.52331,             0.17508,            0.064687,            0.075121,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.065265,            0.091036,                   0,             0.61992,              0.5732,             0.60421,             0.21867,            0.062811,            0.075946,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.063155,             0.09041,                   0,             0.58681,             0.59943,             0.55434,             0.19675,            0.063592,            0.075828,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.064227,            0.091355,                   0,              0.4877,             0.48353,             0.44736,             0.15529,            0.067099,            0.081208,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.063538,            0.090788,                   0,             0.42098,             0.48387,              0.4557,             0.16896,            0.066221,            0.083849,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.062772,            0.091639,                   0,             0.64618,             0.62071,              0.6249,             0.24382,            0.060133,            0.075364,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.061175,            0.089273,                   0,              0.6182,             0.61743,             0.59068,             0.21787,            0.061841,             0.07531,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.060555,            0.090385,                   0,             0.65888,             0.54635,              0.5877,             0.22878,            0.062277,            0.075557,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.060886,            0.089834,                   0,             0.57839,             0.61358,             0.58654,             0.22306,            0.062133,             0.07485,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.060517,            0.093175,                   0,             0.66572,             0.61087,             0.63598,             0.26094,            0.059583,            0.074373,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.059528,            0.089099,                   0,             0.62719,              0.5981,             0.62253,             0.24532,            0.061353,            0.073768,                   0,            0.009406,            0.009406,            0.009406
